Org,Api,Status,Count
Rocket Sites Ltd,Shipping API V2 Live (SOAP),200 OK,5
Precision Printing Ltd,Shipping API V2 (SOAP),200 OK,43
EAMS Limited,Shipping API V2 Live (SOAP),200 OK,20
Suggero360 UK Ltd,Shipping API V2 Live (SOAP),200 OK,31
Precision Printing Ltd,Shipping API V2 Live (SOAP),200 OK,1
BuySend,Shipping API V2 Live (SOAP),200 OK,1869
UK-Peptides,Shipping API V2 Live (SOAP),200 OK,35
BuySend,Shipping API V2 Live (SOAP),500 Internal Server Error,1
Easywebstore,Shipping API V2 (SOAP),200 OK,30
Nomisoft,Tracking API LIVE (SOAP),500 Internal Server Error,8
UKSoccershop,Shipping API V2 (SOAP),200 OK,25
Nomisoft,Tracking API LIVE (SOAP),200 OK,2
Flint Studios Ltd,Shipping API V2 (SOAP),500 Error,4
Hildebrand Technology Limited,Shipping API V2 Live (SOAP),200 OK,41
AV Distribution Ltd,Shipping API V2 Live (SOAP),200 OK,27
Real Foods,Shipping API V2 Live (SOAP),200 OK,26
Net Curtains Direct Ltd,Shipping API V2 Live (SOAP),200 OK,37
Cambridge Baby,Shipping API V2 Live (SOAP),200 OK,53
Pyramid Group Management Services Corporation,Shipping API V2 Live (SOAP),200 OK,6
Heating Controls Online,Shipping API V2 Live (SOAP),200 OK,42
Delves Wood Ltd,Shipping API V2 Live (SOAP),200 OK,2
TGC Computers Ltd,Shipping API V2 Live (SOAP),200 OK,15
Duncans Retail Ltd,Shipping API V2 Live (SOAP),200 OK,115
forward2me Ltd,Shipping API V2 Live (SOAP),200 OK,2
Sphererays,Shipping API V2 (SOAP),200 OK,4
Socket Store,Shipping API V2 Live (SOAP),200 OK,40
Handy Candy Ltd,Shipping API V2 Live (SOAP),200 OK,12
Marks and Spencer,Shipping API V2 Live (SOAP),200 OK,1411
Marks and Spencer,Shipping API V2 Live (SOAP),500 Internal Server Error,64
Cyber-Duck,Shipping API V2 (SOAP),500 Error,4
Cyber-Duck,Shipping API V2 (SOAP),500 Internal Server Error,25
Flaydemouse,Shipping API V2 Live (SOAP),200 OK,13
UKSoccershop,Shipping API V2 (SOAP),500 Internal Server Error,15
Internet Fusion,Shipping API V2 Live (SOAP),200 OK,571
Unineed Ltd,Shipping API V2 Live (SOAP),200 OK,12
Samuel and Sons Passementerie UK Limited,Shipping API V2 (SOAP),200 OK,1
UKSoccershop,Shipping API V2 (SOAP),500 Error,2
Neoteric,Shipping API V2 Live (SOAP),200 OK,40
Zasilkovna,Shipping API V2 (SOAP),500 Error,9
CDL IT Pvt Ltd,Shipping API V2 Live (SOAP),200 OK,5
Parcel Monkey / Cloud Fulfulment,Tracking API LIVE (SOAP),401,10
Direction Software Solutions,Tracking API LIVE (SOAP),200 OK,10
Best4ecigs,Local Collect API (SOAP),500 Internal Server Error,2
